offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Courthouse y
1,-0.8012117670000001,1,0,-0.939009654,1,0,0,0,0,1,0,0,0,-0.684119178,-0.80370778,-0.116352309,-0.163486338,0.45882403200000005,233.0
1,-0.8012117670000001,1,0,-1.516861749,0,1,0,0,0,0,0,0,1,-2.063366573,-2.010318091,-0.833010145,-0.163486338,0.45882403200000005,236.0
1,0.019575595,0,1,-0.939009654,0,1,0,0,0,1,0,0,0,-2.063366573,-2.067775725,-0.7818203,-0.163486338,-0.633626082,502.0
1,-0.813508207,1,0,-1.372398725,1,0,0,0,0,0,0,0,1,0.64208024,0.34544489700000003,0.6514953720000001,-0.163486338,-1.452963667,234.0
1,-0.773544778,1,0,-0.79454663,0,0,0,1,0,1,0,0,0,-2.010318596,-2.010318091,-0.730630454,-0.163486338,1.0050490890000001,249.0
1,-0.850397527,1,0,0.072231512,0,0,0,1,1,0,0,0,0,0.005504519,-0.688792512,1.572912589,-0.163486338,0.18571150399999997,222.0
1,-0.8012117670000001,1,0,-1.083472678,0,0,0,1,0,1,0,0,0,-1.320694899,-1.090995949,-0.9353898359999999,-0.163486338,2.097499203,239.0
1,-0.616765169,0,1,1.227935701,0,1,0,0,0,0,0,0,1,0.42988833299999996,0.97747887,-0.88419999,-0.163486338,0.45882403200000005,285.0
1,-0.822730537,1,0,1.516861749,1,0,0,0,0,0,0,0,1,0.535984286,0.058156728,1.11220398,-0.163486338,-1.452963667,223.0
1,-0.804285877,1,0,-1.372398725,0,0,1,0,0,0,0,0,1,0.48293631,0.058156728,0.9586344440000001,-0.163486338,0.18571150399999997,231.0
1,0.51143319,1,0,-0.36115755899999996,1,0,0,0,0,0,0,1,0,0.64208024,0.28798726399999997,0.805064908,-0.163486338,-0.087401025,735.0
1,-0.09109236400000001,1,0,-0.36115755899999996,0,0,0,1,0,0,0,1,0,-0.36583131799999996,-0.9186230470000001,1.00982429,-0.163486338,-1.452963667,637.0
1,-0.8165823170000001,1,0,-1.372398725,0,0,1,0,0,0,0,0,1,0.42988833299999996,0.173071996,0.497925836,-0.163486338,-1.452963667,231.0
1,0.59443416,1,0,-0.072231512,0,0,0,1,0,0,0,1,0,-0.684119178,-0.80370778,-0.116352309,-0.163486338,-0.087401025,748.0
1,-0.795063547,1,0,0.939009654,0,1,0,0,0,0,1,0,0,-1.957270619,-1.6655722880000001,-1.191339063,-0.163486338,2.097499203,238.0
1,-0.456911451,1,0,-0.505620583,0,0,0,1,0,0,0,1,0,-0.631071201,-0.9760806809999999,0.395546145,-0.163486338,0.18571150399999997,417.0
1,-0.807359987,1,0,-1.227935701,0,1,0,0,0,0,0,0,1,0.21769642600000003,-0.05675854,0.497925836,-0.163486338,-0.087401025,230.0
1,-0.881138627,0,1,-1.516861749,0,0,0,1,0,0,0,0,1,-1.373742875,-1.55065702,-0.218732,-0.163486338,0.45882403200000005,212.0
1,-0.8165823170000001,1,0,1.661324773,0,1,0,0,0,0,0,0,1,-0.47192727100000004,-0.688792512,0.190786763,-0.163486338,-1.452963667,227.0
1,0.806547748,1,0,0.939009654,0,1,0,0,0,0,1,0,0,-2.063366573,-1.148453583,-1.9079968980000002,-0.163486338,1.0050490890000001,730.0
1,-0.868842187,0,1,-1.227935701,0,0,0,1,0,0,0,0,1,-0.578023225,-0.9760806809999999,0.549115681,-0.163486338,-0.633626082,214.0
1,-0.453837341,1,0,1.661324773,0,0,1,0,0,0,0,0,1,1.649991797,1.092394138,1.624102434,-0.163486338,-1.452963667,344.0
1,2.177600795,1,0,0.505620583,1,0,0,0,1,0,0,0,0,1.11951203,1.322224673,-0.218732,-0.163486338,-0.633626082,1218.0
1,-0.53069009,0,1,1.227935701,0,0,0,1,0,0,0,0,1,-0.25973536399999997,-1.033538315,1.726482125,-0.163486338,2.097499203,321.0
1,-0.8350269770000001,0,1,-0.939009654,0,0,1,0,0,1,0,0,0,0.64208024,-0.05675854,1.777671971,0.339619623,0.18571150399999997,221.0
1,-0.831952867,1,0,1.083472678,0,0,0,1,0,0,1,0,0,-1.479838829,-1.090995949,-1.191339063,-0.163486338,1.278161617,229.0
1,-0.828878757,1,0,0.505620583,0,0,0,1,1,0,0,0,0,-0.578023225,-1.435741752,1.931241507,0.08806664199999999,1.0050490890000001,221.0
1,-0.8012117670000001,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-1.4267908519999999,-1.205911217,-0.9353898359999999,-0.163486338,-1.452963667,232.0
1,-0.149500453,0,1,-0.36115755899999996,0,0,0,1,0,0,0,1,0,-1.267646922,-1.205911217,-0.6282507629999999,-0.163486338,-0.633626082,615.0
1,0.8557335070000001,1,0,0.36115755899999996,0,0,0,1,1,0,0,0,0,-1.267646922,-1.033538315,-0.88419999,-0.163486338,1.0050490890000001,779.0
1,-0.831952867,1,0,1.372398725,0,0,1,0,0,0,0,0,1,-0.206687388,0.575275433,-1.344908599,-0.163486338,-1.452963667,228.0
1,1.977783646,1,0,0.072231512,0,0,1,0,1,0,0,0,0,0.80122417,1.379682307,-0.88419999,-0.163486338,-0.087401025,1144.0
