offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School2 y
1,-0.163345141,1,0,1.227935701,0,0,1,0,0,0,0,0,1,-0.153639411,0.058156728,-0.5770609179999999,-0.163486338,0.45882403200000005,213
1,-0.8177397470000001,0,1,1.372398725,0,0,0,1,0,0,0,0,1,-0.47192727100000004,-1.205911217,1.572912589,3.3582553839999996,3.189949317,118
1,-0.415559729,0,1,0.79454663,1,0,0,0,0,0,1,0,0,0.80122417,0.23052963,1.4193430530000002,9.395526906,-0.087401025,184
1,-0.9268055140000001,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-0.737167155,-1.148453583,0.549115681,-0.163486338,-0.087401025,104
1,-0.9268055140000001,0,1,-0.650083607,0,1,0,0,0,1,0,0,0,-2.010318596,-1.780487555,-1.140149217,-0.163486338,-0.633626082,105
1,-0.688224148,1,0,-1.516861749,0,0,0,1,0,0,0,0,1,-0.153639411,-0.9186230470000001,1.726482125,-0.163486338,-0.633626082,140
1,0.37516708600000004,0,1,0.505620583,0,0,0,1,1,0,0,0,0,-1.161550969,-0.80370778,-1.037769527,-0.163486338,-0.087401025,298
1,-0.545075328,1,0,-1.227935701,1,0,0,0,0,0,0,0,1,0.64208024,0.058156728,1.4193430530000002,-0.163486338,-1.452963667,189
1,1.820288507,1,0,-0.36115755899999996,0,0,1,0,0,0,0,1,0,0.9603681000000001,1.092394138,-0.116352309,-0.163486338,-1.452963667,579
1,-0.933622125,0,1,-0.650083607,0,0,0,1,0,1,0,0,0,-1.532886806,-1.2633688509999998,-1.037769527,-0.163486338,0.18571150399999997,101
1,-0.8177397470000001,1,0,1.516861749,0,0,1,0,0,0,0,0,1,0.111600473,0.7476483340000001,-1.088959372,-0.163486338,-0.087401025,116
1,-0.7223071999999999,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-1.798126689,-1.6655722880000001,-0.9353898359999999,-0.163486338,1.0050490890000001,133
1,-0.87227263,0,1,-0.072231512,0,0,0,1,0,0,0,1,0,-0.684119178,-0.573877244,-0.525871073,-0.163486338,1.0050490890000001,128
1,0.934129145,1,0,0.505620583,0,0,0,1,1,0,0,0,0,-0.47192727100000004,-0.51641961,-0.218732,-0.163486338,1.0050490890000001,372
1,-0.885905851,1,0,1.227935701,0,1,0,0,0,0,0,0,1,0.7481761929999999,0.28798726399999997,1.11220398,-0.163486338,1.0050490890000001,106
1,-0.7086739790000001,1,0,-0.505620583,0,0,0,1,0,0,0,1,0,-1.0024070379999999,-1.033538315,-0.372301536,-0.163486338,-0.087401025,298
1,0.27973454,0,1,1.227935701,0,0,0,1,0,0,0,0,1,-0.631071201,-0.51641961,-0.525871073,-0.163486338,-0.087401025,140
1,-0.892722462,1,0,1.516861749,0,0,1,0,0,0,0,0,1,1.172560007,0.97747887,0.600305526,-0.163486338,-0.633626082,110
1,-0.913172293,0,1,-1.372398725,0,0,1,0,0,0,0,0,1,1.11951203,0.920021236,0.600305526,-0.163486338,0.45882403200000005,108
1,0.940945756,1,0,0.072231512,1,0,0,0,1,0,0,0,0,-0.737167155,-0.401504343,-0.9353898359999999,-0.163486338,1.0050490890000001,378
1,-0.40874311799999996,1,0,0.79454663,0,0,0,1,0,0,1,0,0,0.7481761929999999,0.402902531,0.805064908,-0.163486338,-0.633626082,158
1,-0.879089241,1,0,0.939009654,0,0,0,1,0,0,1,0,0,-1.532886806,-0.9186230470000001,-1.498478135,-0.163486338,-0.087401025,110
1,-0.86545602,1,0,-1.661324773,0,1,0,0,0,0,0,0,1,0.7481761929999999,0.0006990939999999999,1.931241507,-0.163486338,0.45882403200000005,113
1,2.8904963510000004,1,0,0.072231512,0,0,1,0,1,0,0,0,0,1.3317039370000001,1.494597575,-0.065162464,-0.163486338,0.18571150399999997,672
1,-0.5518919379999999,1,0,-1.227935701,0,0,0,1,0,0,0,0,1,-0.737167155,-0.9186230470000001,-0.013972618999999999,-0.163486338,-0.633626082,157
1,-0.57915838,1,0,-1.372398725,0,0,0,1,0,0,0,0,1,-0.10059143400000001,-0.344046709,0.344356299,-0.163486338,0.18571150399999997,154
1,-0.7154905890000001,0,1,-0.21669453600000002,1,0,0,0,0,0,0,1,0,-0.8432631079999999,-0.746250146,-0.5770609179999999,-0.163486338,-0.633626082,136
1,3.01319534,1,0,-0.21669453600000002,0,0,1,0,0,0,0,1,0,1.596943821,1.322224673,0.856254753,-0.163486338,-0.087401025,697
1,0.45696641200000004,1,0,0.505620583,1,0,0,0,1,0,0,0,0,-0.737167155,-0.05675854,-1.344908599,-0.163486338,3.189949317,306
