offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Office y
1,0.066525561,1,0,-0.939009654,0,0,1,0,0,1,0,0,0,1.11951203,1.092394138,0.24197660899999998,-0.163486338,-0.087401025,472
1,0.097739985,0,1,-0.79454663,0,0,1,0,0,1,0,0,0,1.27865596,1.092394138,0.600305526,-0.163486338,-1.452963667,534
1,0.590927877,0,1,-0.650083607,0,0,1,0,0,1,0,0,0,1.172560007,0.920021236,0.7026852170000001,-0.163486338,1.278161617,614
1,-0.8636642609999999,1,0,-1.227935701,1,0,0,0,0,0,0,0,1,0.058552495999999996,-0.114216173,0.24197660899999998,-0.163486338,0.18571150399999997,324
1,-0.33301906,1,0,1.516861749,1,0,0,0,0,0,0,0,1,0.695128216,0.23052963,1.11220398,-0.163486338,-0.633626082,372
1,-0.5327913710000001,1,0,-1.083472678,0,0,1,0,0,1,0,0,0,1.066464053,0.805105968,0.7026852170000001,-0.163486338,0.18571150399999997,377
1,-0.776263875,0,1,-0.21669453600000002,1,0,0,0,0,0,0,1,0,-0.36583131799999996,-0.344046709,-0.32111169100000003,-0.163486338,-0.633626082,338
1,0.447341528,0,1,0.21669453600000002,0,0,0,1,1,0,0,0,0,-2.116414549,-2.125233359,-0.730630454,-0.163486338,0.45882403200000005,534
1,1.5148748140000001,1,0,-0.072231512,0,0,1,0,0,0,0,1,0,0.111600473,0.805105968,-1.191339063,-0.163486338,0.45882403200000005,716
1,1.558575007,1,0,-0.072231512,1,0,0,0,0,0,0,1,0,0.854272147,1.034936504,-0.218732,-0.163486338,-1.452963667,731
1,-0.944821762,1,0,-0.79454663,1,0,0,0,0,1,0,0,0,-0.25973536399999997,-0.51641961,0.29316645399999997,-0.163486338,0.18571150399999997,320
1,-0.595220218,1,0,-1.372398725,0,0,0,1,0,0,0,0,1,-1.6389827590000001,-1.6655722880000001,-0.5770609179999999,-0.163486338,-1.452963667,359
1,-0.7575352209999999,0,1,0.505620583,0,0,0,1,1,0,0,0,0,-0.312783341,-1.033538315,1.572912589,0.591172603,1.278161617,347
1,-0.033360594,0,1,-0.79454663,0,0,1,0,0,1,0,0,0,1.756087751,1.4371399409999999,1.00982429,-0.163486338,1.0050490890000001,630
1,-0.77002099,1,0,0.505620583,0,1,0,0,1,0,0,0,0,0.376840356,-0.17167380699999998,1.265773517,0.591172603,0.18571150399999997,343
1,-0.576491564,0,1,0.21669453600000002,0,0,0,1,1,0,0,0,0,0.111600473,0.23052963,-0.32111169100000003,-0.163486338,0.45882403200000005,366
1,1.5460892380000002,1,0,-0.21669453600000002,1,0,0,0,0,0,0,1,0,1.066464053,1.149851771,-0.013972618999999999,-0.163486338,-0.633626082,753
1,0.853129035,0,1,-0.072231512,0,0,1,0,0,0,0,1,0,1.384751914,1.494597575,0.037217227,-0.163486338,0.45882403200000005,610
1,-0.20191848199999998,1,0,-0.21669453600000002,0,0,0,1,0,0,0,1,0,-0.36583131799999996,-0.746250146,0.549115681,-0.163486338,0.18571150399999997,471
