offset,PDemand Feature,Day1,Day2,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School1 y
1,1.393333909,0,0,0,0,1,0,0,0,0,1,0,1.43779989,1.379682307,0.344356299,-0.163486338,-1.452963667,1.4288730809999999
1,0.696038177,0,0,0,0,1,0,0,0,1,0,0,0.376840356,-0.22913144100000002,1.368153207,-0.163486338,0.73193656,0.613439229
1,-0.544911854,0,0,0,0,0,1,0,0,0,1,0,-0.524975248,-0.9186230470000001,0.549115681,0.591172603,0.45882403200000005,-0.556531081
1,-0.332177563,0,0,0,0,1,0,0,1,0,0,0,1.4908478669999998,1.149851771,1.00982429,-0.163486338,0.18571150399999997,-0.131087332
1,1.275148192,0,0,0,0,1,0,0,0,1,0,0,1.11951203,1.264767039,-0.116352309,-0.163486338,0.18571150399999997,1.239786971
1,0.613308175,1,0,1,0,0,0,0,1,0,0,0,1.384751914,0.805105968,1.624102434,1.345831543,0.18571150399999997,0.625257111
1,1.476063911,0,0,0,0,1,0,0,0,0,0,1,0.376840356,1.264767039,-1.344908599,-0.163486338,-0.633626082,1.4643267269999998
1,-1.005836151,0,0,0,0,0,1,0,0,0,1,0,-0.790215132,-1.493199386,1.368153207,0.08806664199999999,0.45882403200000005,-0.6628920189999999
1,-0.30854042,0,0,0,0,0,1,0,0,0,0,1,-0.737167155,-1.090995949,0.395546145,-0.163486338,0.45882403200000005,-0.37926285200000004
1,0.495122458,0,1,0,1,0,0,1,0,0,0,0,-0.790215132,0.115614362,-1.600857826,-0.163486338,0.45882403200000005,0.530714055
1,0.116928163,0,0,0,0,0,1,0,0,1,0,0,-0.737167155,-0.688792512,-0.423491382,-0.163486338,-0.087401025,-0.071997922
1,0.92059104,0,0,0,0,1,0,0,0,0,1,0,0.64208024,1.149851771,-0.7818203,-0.163486338,0.18571150399999997,1.688866484
1,2.327001075,0,0,0,0,1,0,0,0,1,0,0,0.7481761929999999,1.379682307,-0.9353898359999999,-0.163486338,0.73193656,2.102492351
1,0.140565306,0,0,0,0,1,0,1,0,0,0,0,1.172560007,1.781885744,-0.833010145,-0.163486338,0.18571150399999997,1.8070453030000002
1,-0.37945185,0,0,0,0,0,1,0,0,0,0,1,-0.896311085,-1.148453583,0.13959691800000001,-0.163486338,0.73193656,-0.37926285200000004
1,0.459666743,0,0,0,0,1,0,0,1,0,0,0,1.596943821,1.322224673,0.856254753,-0.163486338,-0.087401025,1.322512144
1,2.137903928,0,0,0,0,1,0,1,0,0,0,0,0.21769642600000003,1.207309405,-1.498478135,-0.163486338,1.0050490890000001,2.315214225
1,-1.112203297,1,0,1,0,0,0,1,0,0,0,0,0.005504519,0.28798726399999997,-0.6282507629999999,-0.163486338,0.18571150399999997,-1.0883357679999999
1,1.3460596219999998,0,0,0,0,1,0,0,0,1,0,0,1.27865596,0.862563602,1.11220398,0.08806664199999999,0.73193656,1.180697561
1,0.31784388199999997,0,0,0,0,0,1,0,0,0,1,0,-0.36583131799999996,-0.9186230470000001,1.00982429,-0.163486338,-1.452963667,0.566167701
1,-0.45036328,0,0,0,0,0,1,0,0,0,0,1,0.695128216,0.115614362,1.4193430530000002,-0.163486338,-0.633626082,-0.5683489629999999
1,-0.710371858,0,0,0,0,0,1,0,0,1,0,0,0.164648449,-0.401504343,1.214583671,0.08806664199999999,-1.452963667,-0.73379931
1,-0.639460428,0,0,0,0,0,1,0,0,0,0,1,-1.055455015,-0.9186230470000001,-0.679440609,-0.163486338,-0.633626082,-0.639256255
1,-0.202173274,0,0,0,0,0,1,0,0,0,1,0,-0.790215132,-0.9186230470000001,-0.116352309,-0.163486338,-0.087401025,0.046180897
1,-0.072168985,1,0,1,0,0,0,0,1,0,0,0,1.013416077,0.6901907009999999,0.805064908,-0.163486338,0.18571150399999997,0.412535236
